year,country,speech_length,tokens_length,renewable_energy_count,climate_change_count,renewable_energy_1000_rate,climate_change_1000_rate
1948,BOL,1770,904,0,0,0.0,0.0
1948,SYR,3233,1600,0,0,0.0,0.0
1948,RUS,6874,3535,0,0,0.0,0.0
1948,DNK,1813,910,0,0,0.0,0.0
1948,IND,3350,1670,0,0,0.0,0.0
1949,USA,3074,1621,0,0,0.0,0.0
1949,ZAF,2389,1179,0,0,0.0,0.0
1949,CAN,2928,1444,0,0,0.0,0.0
1949,IRQ,2039,993,0,0,0.0,0.0
1949,UKR,3835,2003,0,0,0.0,0.0
1949,LBR,875,450,0,0,0.0,0.0
1949,LBN,3616,1856,0,0,0.0,0.0
1949,NLD,2660,1338,0,0,0.0,0.0
1949,CSK,4086,2035,0,0,0.0,0.0
1949,NZL,2430,1199,1,0,0.8340283569641368,0.0
1949,EGY,1661,852,0,0,0.0,0.0
1949,CHL,2136,1109,0,1,0.0,0.9017132551848511
1949,PER,1507,739,0,0,0.0,0.0
1949,SLV,2197,1071,0,0,0.0,0.0
1949,ISR,3648,1911,0,0,0.0,0.0
1949,CUB,919,502,0,0,0.0,0.0
1949,RUS,3307,1694,0,0,0.0,0.0
1949,SYR,2911,1387,0,0,0.0,0.0
1949,ARG,3500,1728,0,0,0.0,0.0
1949,IND,2888,1437,0,0,0.0,0.0
1949,GBR,5473,2694,0,0,0.0,0.0
1949,ECU,1243,638,0,0,0.0,0.0
1949,CHN,1692,875,0,0,0.0,0.0
1949,POL,6327,3185,0,0,0.0,0.0
1949,MEX,1290,668,0,0,0.0,0.0
1949,GRC,1282,656,0,0,0.0,0.0
1949,YUG,2542,1266,0,0,0.0,0.0
1949,VEN,1885,994,0,0,0.0,0.0
1949,DOM,1171,604,0,1,0.0,1.6556291390728477
1949,ETH,1209,603,0,0,0.0,0.0
1949,BRA,2028,979,0,0,0.0,0.0
1949,PAK,3457,1654,0,0,0.0,0.0
1949,FRA,3518,1707,0,0,0.0,0.0
1949,BLR,1619,861,0,0,0.0,0.0
1949,BEL,2993,1475,0,0,0.0,0.0
1950,BEL,3114,1505,0,0,0.0,0.0
1950,BLR,3503,1811,0,0,0.0,0.0
1950,FRA,2579,1242,0,0,0.0,0.0
1950,PAK,3864,1784,0,0,0.0,0.0
1950,TUR,2125,1018,0,0,0.0,0.0
1950,BRA,1719,844,0,0,0.0,0.0
1950,ETH,2668,1266,0,0,0.0,0.0
1950,DOM,1082,541,0,0,0.0,0.0
1950,URY,1833,916,0,0,0.0,0.0
1950,PAN,1130,563,0,0,0.0,0.0
1950,VEN,1701,818,0,0,0.0,0.0
1950,YUG,6057,3087,0,0,0.0,0.0
1950,GRC,1249,606,0,0,0.0,0.0
1950,PHL,1431,695,0,0,0.0,0.0
1950,POL,5464,2733,0,0,0.0,0.0
1950,CHN,2402,1290,0,0,0.0,0.0
1950,ECU,3494,1740,0,0,0.0,0.0
1950,GBR,4081,1885,0,0,0.0,0.0
1950,IND,2366,1162,0,0,0.0,0.0
1950,ARG,1956,982,0,2,0.0,2.0366598778004072
1950,SWE,1932,964,0,0,0.0,0.0
1950,NOR,2234,1059,0,0,0.0,0.0
1950,BOL,4346,2126,0,2,0.0,0.9407337723424272
1950,RUS,3907,2001,0,0,0.0,0.0
1950,HND,1097,571,0,0,0.0,0.0
1950,CUB,2095,1008,0,0,0.0,0.0
1950,ISR,2802,1464,0,1,0.0,0.6830601092896175
1950,SLV,2827,1404,0,0,0.0,0.0
1950,PER,3259,1544,0,0,0.0,0.0
1950,COL,2082,992,0,0,0.0,0.0
1950,CHL,3854,1918,0,0,0.0,0.0
1950,EGY,2868,1388,0,0,0.0,0.0
1950,NZL,5529,2519,0,0,0.0,0.0
1950,CSK,3500,1759,0,0,0.0,0.0
1950,NLD,2410,1196,0,0,0.0,0.0
1950,AUS,5694,2668,0,0,0.0,0.0
1950,LBN,2443,1197,0,0,0.0,0.0
1950,LBR,2804,1396,0,0,0.0,0.0
1950,UKR,2406,1267,0,0,0.0,0.0
1950,IRQ,2598,1354,0,0,0.0,0.0
1950,CAN,3553,1707,0,0,0.0,0.0
1950,ZAF,3039,1466,0,0,0.0,0.0
1950,USA,5149,2529,1,0,0.39541320680110714,0.0
1950,GTM,2481,1230,0,0,0.0,0.0
1951,LBN,2279,1038,0,0,0.0,0.0
1951,NLD,3213,1574,0,0,0.0,0.0
1951,AUS,3946,1928,0,2,0.0,1.037344398340249
1951,MMR,1497,714,0,0,0.0,0.0
1951,CSK,6239,3168,0,0,0.0,0.0
1951,NZL,2522,1255,0,0,0.0,0.0
1951,EGY,6154,2954,0,0,0.0,0.0
1951,NIC,2028,1037,0,0,0.0,0.0
1951,CHL,1806,896,0,0,0.0,0.0
1951,COL,1935,990,0,0,0.0,0.0
1951,PER,3229,1587,0,0,0.0,0.0
1951,SLV,1964,974,0,0,0.0,0.0
1951,ISR,3551,1794,0,0,0.0,0.0
1951,CUB,2677,1342,0,0,0.0,0.0
1951,HND,1163,582,0,0,0.0,0.0
1951,USA,4929,2439,0,1,0.0,0.4100041000410004
1951,ZAF,3764,1815,0,0,0.0,0.0
1951,CAN,3288,1610,1,0,0.6211180124223603,0.0
1951,HTI,2547,1299,0,1,0.0,0.7698229407236336
1951,YEM,2150,1007,0,0,0.0,0.0
1951,IRQ,3024,1515,0,0,0.0,0.0
1951,IRN,3169,1601,0,0,0.0,0.0
1951,UKR,3797,2008,0,0,0.0,0.0
1951,LBR,1967,981,0,0,0.0,0.0
1951,PRY,1206,595,0,0,0.0,0.0
1951,GRC,1980,968,0,0,0.0,0.0
1951,YUG,5478,2799,0,0,0.0,0.0
1951,VEN,1907,934,0,0,0.0,0.0
1951,PAN,2730,1328,0,0,0.0,0.0
1951,URY,2462,1198,0,0,0.0,0.0
1951,ETH,1805,895,0,0,0.0,0.0
1951,DOM,1619,787,0,0,0.0,0.0
1951,BRA,2263,1122,0,0,0.0,0.0
1951,TUR,1228,579,0,0,0.0,0.0
1951,PAK,4694,2221,0,0,0.0,0.0
1951,FRA,3124,1533,0,0,0.0,0.0
1951,BLR,3740,1967,0,0,0.0,0.0
1951,BEL,4034,1937,0,0,0.0,0.0
1951,DNK,2824,1349,0,0,0.0,0.0
1951,RUS,18814,9476,0,0,0.0,0.0
1951,BOL,2295,1134,0,0,0.0,0.0
1951,SYR,3430,1619,0,0,0.0,0.0
1951,IDN,2990,1517,0,0,0.0,0.0
1951,IND,2094,1024,0,0,0.0,0.0
1951,ARG,2139,1027,0,0,0.0,0.0
1951,GBR,3068,1407,0,1,0.0,0.7107320540156361
1951,CRI,1486,749,0,0,0.0,0.0
1951,ECU,884,468,0,0,0.0,0.0
1951,CHN,3911,2076,0,0,0.0,0.0
1951,POL,6680,3462,0,0,0.0,0.0
1951,PHL,3355,1683,0,0,0.0,0.0
1952,LBN,4254,2004,0,1,0.0,0.499001996007984
1952,AUS,4491,2230,0,0,0.0,0.0
1952,NLD,3702,1824,0,0,0.0,0.0
1952,MMR,2016,951,0,0,0.0,0.0
1952,CSK,8518,4350,0,0,0.0,0.0
1952,NZL,4179,1963,0,0,0.0,0.0
1952,EGY,1217,636,0,0,0.0,0.0
1952,ISR,3937,1974,0,0,0.0,0.0
1952,CUB,3303,1646,0,0,0.0,0.0
1952,CHL,6193,3092,0,2,0.0,0.646830530401035
1952,COL,3536,1790,0,0,0.0,0.0
1952,PER,3453,1662,0,0,0.0,0.0
1952,CAN,3183,1485,0,1,0.0,0.6734006734006734
1952,USA,5299,2600,0,0,0.0,0.0
1952,ZAF,2618,1218,0,0,0.0,0.0
1952,UKR,5100,2671,0,0,0.0,0.0
1952,LBR,1447,718,0,0,0.0,0.0
1952,PRY,1680,836,0,0,0.0,0.0
1952,IRQ,4438,2211,0,1,0.0,0.4522840343735866
1952,AFG,670,348,0,0,0.0,0.0
1952,URY,3535,1722,0,0,0.0,0.0
1952,PAN,616,292,0,0,0.0,0.0
1952,GRC,3034,1473,0,0,0.0,0.0
1952,YUG,4564,2283,0,1,0.0,0.43802014892685065
1952,BLR,5122,2764,0,0,0.0,0.0
1952,BEL,5471,2604,0,0,0.0,0.0
1952,ETH,3441,1723,0,0,0.0,0.0
1952,DOM,2525,1262,0,0,0.0,0.0
1952,BRA,1915,984,0,0,0.0,0.0
1952,PAK,3671,1808,0,0,0.0,0.0
1952,FRA,7813,3836,0,0,0.0,0.0
1952,SWE,3506,1774,0,0,0.0,0.0
1952,IND,1881,928,0,1,0.0,1.0775862068965516
1952,ARG,2816,1380,0,0,0.0,0.0
1952,RUS,10613,5549,0,1,0.0,0.18021265092809516
1952,BOL,3162,1623,0,2,0.0,1.2322858903265559
1952,SYR,2997,1477,0,0,0.0,0.0
1952,IDN,4038,2018,0,0,0.0,0.0
1952,GBR,4209,2004,1,0,0.499001996007984,0.0
1952,CRI,3284,1665,0,0,0.0,0.0
1952,ECU,3499,1687,0,1,0.0,0.5927682276229994
1952,CHN,4619,2333,0,0,0.0,0.0
1952,POL,9697,4982,0,0,0.0,0.0
1953,ARG,3669,1821,0,0,0.0,0.0
1953,IND,15864,7257,0,1,0.0,0.13779798814937302
1953,SWE,3525,1732,0,0,0.0,0.0
1953,RUS,11486,5893,0,0,0.0,0.0
1953,IDN,3216,1615,0,0,0.0,0.0
1953,SYR,4963,2517,0,0,0.0,0.0
1953,MEX,3643,1840,0,1,0.0,0.5434782608695652
1953,PHL,2026,1028,0,1,0.0,0.9727626459143969
1953,POL,5362,2749,0,0,0.0,0.0
1953,GBR,6235,3038,0,0,0.0,0.0
1953,CHN,3117,1572,0,0,0.0,0.0
1953,ECU,4856,2408,0,0,0.0,0.0
1953,CRI,2697,1319,0,2,0.0,1.5163002274450341
1953,YUG,3879,1886,0,0,0.0,0.0
1953,ISL,4781,2413,0,0,0.0,0.0
1953,GRC,2901,1448,0,0,0.0,0.0
1953,VEN,1629,830,0,0,0.0,0.0
1953,BLR,5486,2829,0,0,0.0,0.0
1953,BEL,3155,1441,0,0,0.0,0.0
1953,FRA,4162,2025,0,0,0.0,0.0
1953,PAK,3797,1867,0,0,0.0,0.0
1953,BRA,1525,753,0,0,0.0,0.0
1953,DOM,2343,1190,0,0,0.0,0.0
1953,ETH,1100,547,0,2,0.0,3.656307129798903
1953,CAN,3336,1595,0,0,0.0,0.0
1953,GTM,2357,1208,0,1,0.0,0.8278145695364238
1953,ZAF,3243,1504,1,0,0.6648936170212766,0.0
1953,USA,4441,2219,0,0,0.0,0.0
1953,LBR,2171,1046,0,0,0.0,0.0
1953,UKR,3876,2072,0,0,0.0,0.0
1953,IRQ,3672,1819,0,0,0.0,0.0
1953,CSK,5483,2904,0,0,0.0,0.0
1953,EGY,3797,1911,0,0,0.0,0.0
1953,NZL,2777,1330,0,0,0.0,0.0
1953,LBN,7166,3525,0,0,0.0,0.0
1953,MMR,2171,1025,0,0,0.0,0.0
1953,AUS,4085,1866,0,0,0.0,0.0
1953,NLD,3230,1550,0,0,0.0,0.0
1953,CUB,3834,1905,0,0,0.0,0.0
1953,ISR,4298,2224,0,0,0.0,0.0
1953,SLV,3015,1494,0,0,0.0,0.0
1953,COL,1471,739,0,0,0.0,0.0
1953,CHL,1881,933,0,0,0.0,0.0
1953,PER,4145,2120,0,1,0.0,0.4716981132075472
1954,CRI,1785,890,0,0,0.0,0.0
1954,ECU,3708,1799,0,2,0.0,1.1117287381878822
1954,CHN,4022,2061,0,2,0.0,0.970402717127608
1954,GBR,7672,3800,0,1,0.0,0.2631578947368421
1954,POL,7208,3766,0,0,0.0,0.0
1954,PHL,6978,3550,0,0,0.0,0.0
1954,NOR,4285,2140,0,0,0.0,0.0
1954,IND,16988,7804,0,1,0.0,0.12813941568426448
1954,ARG,4319,2170,0,0,0.0,0.0
1954,BOL,4084,2057,0,0,0.0,0.0
1954,SYR,3480,1742,0,0,0.0,0.0
1954,IDN,5504,2813,0,0,0.0,0.0
1954,RUS,11969,6182,0,0,0.0,0.0
1954,BLR,5609,2925,0,0,0.0,0.0
1954,ETH,1159,598,0,0,0.0,0.0
1954,BRA,3302,1635,0,1,0.0,0.6116207951070336
1954,FRA,3351,1585,0,0,0.0,0.0
1954,PAK,3349,1628,1,0,0.6142506142506142,0.0
1954,PAN,1829,831,0,0,0.0,0.0
1954,URY,2308,1138,0,0,0.0,0.0
1954,VEN,2237,1132,0,0,0.0,0.0
1954,GRC,2197,1095,0,0,0.0,0.0
1954,YUG,4255,2059,0,0,0.0,0.0
1954,UKR,3570,1870,0,0,0.0,0.0
1954,LBR,850,423,0,0,0.0,0.0
1954,THA,2118,1072,0,0,0.0,0.0
1954,IRQ,3561,1827,0,0,0.0,0.0
1954,CAN,3530,1728,0,0,0.0,0.0
1954,ZAF,3463,1615,0,0,0.0,0.0
1954,USA,3731,1930,0,0,0.0,0.0
1954,GTM,1671,859,0,0,0.0,0.0
1954,ISR,5596,2983,0,0,0.0,0.0
1954,CUB,3459,1820,0,0,0.0,0.0
1954,PER,4285,2103,0,0,0.0,0.0
1954,CHL,3313,1627,0,1,0.0,0.6146281499692685
1954,COL,2095,1020,0,0,0.0,0.0
1954,NLD,3150,1571,0,0,0.0,0.0
1954,AUS,5842,2838,0,0,0.0,0.0
1954,MMR,3322,1588,0,0,0.0,0.0
1954,NZL,3541,1812,0,0,0.0,0.0
1954,EGY,4137,2155,0,0,0.0,0.0
1954,CSK,5826,3076,0,0,0.0,0.0
1955,CSK,3812,2031,0,0,0.0,0.0
1955,NZL,2075,1034,0,0,0.0,0.0
1955,EGY,3423,1702,0,0,0.0,0.0
1955,LBN,2804,1327,0,0,0.0,0.0
1955,AUS,6574,3264,0,0,0.0,0.0
1955,NLD,2387,1152,0,0,0.0,0.0
1955,MMR,2925,1371,0,0,0.0,0.0
1955,ISR,5192,2702,0,0,0.0,0.0
1955,CHL,4760,2398,0,0,0.0,0.0
1955,PER,3603,1868,0,0,0.0,0.0
1955,HTI,876,424,0,0,0.0,0.0
1955,CAN,5538,2619,0,0,0.0,0.0
1955,ZAF,4568,2193,0,0,0.0,0.0
1955,USA,4428,2260,0,0,0.0,0.0
1955,THA,2715,1369,0,0,0.0,0.0
1955,PRY,2210,1103,0,0,0.0,0.0
1955,UKR,3082,1567,0,0,0.0,0.0
1955,LBR,1184,593,0,0,0.0,0.0
1955,IRN,2302,1148,0,0,0.0,0.0
1955,YEM,1299,626,0,0,0.0,0.0
